epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
176,8704.43,1.50733,0.69799,1.36191,0.94581,0.79532,0.84854,0.37585,2.2272,1.13363,2.07155,0.002125,0.002125,0.002125
177,8753.13,1.4966,0.6878,1.36626,0.96422,0.79532,0.85866,0.38069,2.20338,1.12211,2.04304,0.00208,0.00208,0.00208
178,8802.29,1.5127,0.69563,1.37496,0.97825,0.78914,0.84307,0.37803,2.2453,1.08352,2.0749,0.002035,0.002035,0.002035
179,8850.87,1.50158,0.69087,1.37027,0.95738,0.78814,0.82916,0.37906,2.23948,1.10009,2.08737,0.00199,0.00199,0.00199
180,8898.66,1.48588,0.6583,1.33331,0.96754,0.78947,0.85091,0.37991,2.27445,1.13126,2.13384,0.001945,0.001945,0.001945
181,8945.89,1.48115,0.67372,1.3655,0.94453,0.7966,0.85884,0.37017,2.25913,1.11625,2.11332,0.0019,0.0019,0.0019
182,8992.87,1.49221,0.69541,1.36587,0.92778,0.78363,0.83373,0.36003,2.249,1.0953,2.11531,0.001855,0.001855,0.001855
183,9039.38,1.48799,0.66988,1.357,0.93246,0.81287,0.85268,0.36597,2.25169,1.09253,2.09969,0.00181,0.00181,0.00181
184,9086.75,1.50655,0.68014,1.37074,0.93316,0.81648,0.86012,0.38814,2.17881,1.05302,2.03906,0.001765,0.001765,0.001765
185,9134.3,1.49577,0.67258,1.36254,0.95102,0.79477,0.8501,0.38203,2.21151,1.07377,2.07872,0.00172,0.00172,0.00172
186,9181.64,1.4697,0.67024,1.34895,0.93722,0.81871,0.8651,0.38384,2.21327,1.03142,2.06361,0.001675,0.001675,0.001675
187,9229.34,1.50372,0.68259,1.36397,0.93986,0.82252,0.86286,0.38483,2.18773,1.04122,2.03663,0.00163,0.00163,0.00163
188,9277.27,1.47845,0.65647,1.35734,0.94433,0.79357,0.85218,0.37356,2.21716,1.06717,2.05306,0.001585,0.001585,0.001585
